2016-09-05 19:54:31.6414|INFO|thread: 4|GitEnvironment|PATH is C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\bin;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\share\git-tfs;C:\Users\jespoz\AppData\Local\Apps\2.0\X0PVJAW5.L42\AHO9CELT.GD7\gith..tion_317444273a93ac29_0003.0002_34b4671ab86a4854;C:\Users\jespoz\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64
2016-09-05 19:54:31.6414|INFO|thread: 4|ProcessWrapper|Starting: Process - FileName: 'C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd\git.exe', Args: 'add --all "node_modules/gulp-autoprefixer/node_modules/autoprefixer/node_modules/caniuse-db/region-usage-json/DZ.json" ', Working Directory: C:\Users\jespoz\desarrollos\as\proyectos\
2016-09-05 19:54:31.8384|INFO|thread:35|GitEnvironment|Process set up with this SSH Agent info: 6328:/tmp/ssh-1mohQI57ePJQ/agent.3992
2016-09-05 19:54:31.8384|INFO|thread:35|GitEnvironment|PATH is C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\bin;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\share\git-tfs;C:\Users\jespoz\AppData\Local\Apps\2.0\X0PVJAW5.L42\AHO9CELT.GD7\gith..tion_317444273a93ac29_0003.0002_34b4671ab86a4854;C:\Users\jespoz\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64
2016-09-05 19:54:31.8384|INFO|thread:35|ProcessWrapper|Starting: Process - FileName: 'C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd\git.exe', Args: 'add --all "node_modules/gulp-autoprefixer/node_modules/autoprefixer/node_modules/caniuse-db/region-usage-json/EC.json" ', Working Directory: C:\Users\jespoz\desarrollos\as\proyectos\
2016-09-05 19:54:33.8635|INFO|thread:32|GitEnvironment|Process set up with this SSH Agent info: 6328:/tmp/ssh-1mohQI57ePJQ/agent.3992
2016-09-05 19:54:33.8635|INFO|thread:32|GitEnvironment|PATH is C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\bin;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\share\git-tfs;C:\Users\jespoz\AppData\Local\Apps\2.0\X0PVJAW5.L42\AHO9CELT.GD7\gith..tion_317444273a93ac29_0003.0002_34b4671ab86a4854;C:\Users\jespoz\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64
2016-09-05 19:54:33.8635|INFO|thread:32|ProcessWrapper|Starting: Process - FileName: 'C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd\git.exe', Args: 'add --all "node_modules/gulp-autoprefixer/node_modules/autoprefixer/node_modules/caniuse-db/region-usage-json/EE.json" ', Working Directory: C:\Users\jespoz\desarrollos\as\proyectos\
2016-09-05 19:54:34.0825|INFO|thread:15|GitEnvironment|Process set up with this SSH Agent info: 6328:/tmp/ssh-1mohQI57ePJQ/agent.3992
2016-09-05 19:54:34.0825|INFO|thread:15|GitEnvironment|PATH is C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\bin;C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\usr\share\git-tfs;C:\Users\jespoz\AppData\Local\Apps\2.0\X0PVJAW5.L42\AHO9CELT.GD7\gith..tion_317444273a93ac29_0003.0002_34b4671ab86a4854;C:\Users\jespoz\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64
2016-09-05 19:54:34.0825|INFO|thread:15|ProcessWrapper|Starting: Process - FileName: 'C:\Users\jespoz\AppData\Local\GitHub\PortableGit_624c8416ee51e205b3f892d1d904e06e6f3c57c8\cmd\git.exe', Args: 'add --all "node_modules/gulp-autoprefixer/node_modules/autoprefixer/node_modules/caniuse-db/region-usage-json/EG.json" ', Working Directory: C:\Users\jespoz\desarrollos\as\proyectos\
2016-09-05 19:54:34.7355|INFO|thread:36|GitEnvironment|Process set up with this SSH Agent info: 6328:/tmp/ssh-1mohQI57ePJQ/agent.3992
